seed,model,n_wins,n_questions,win_rate
222379,qwen-4-high,0.3666666666666667,10,0.03666666666666667
222380,gpt-6,0.0,10,0.0
222380,gpt-6-high,1.0,10,0.1
222380,claude-opus-5,3.0,10,0.3
222380,claude-opus-5-high,4.0,10,0.4
222380,qwen-4,0.0,10,0.0
222380,qwen-4-high,2.0,10,0.2
222381,gpt-6,1.0,10,0.1
222381,gpt-6-high,1.3333333333333333,10,0.13333333333333333
222381,claude-opus-5,2.3333333333333335,10,0.23333333333333334
222381,claude-opus-5-high,3.0,10,0.3
222381,qwen-4,1.3333333333333333,10,0.13333333333333333
222381,qwen-4-high,1.0,10,0.1
222382,gpt-6,0.45,10,0.045
222382,gpt-6-high,2.2,10,0.22000000000000003
222382,claude-opus-5,2.25,10,0.225
222382,claude-opus-5-high,4.2,10,0.42000000000000004
222382,qwen-4,0.45,10,0.045
222382,qwen-4-high,0.45,10,0.045
222383,gpt-6,1.5,10,0.15
222383,gpt-6-high,2.166666666666667,10,0.2166666666666667
222383,claude-opus-5,2.5,10,0.25
222383,claude-opus-5-high,2.166666666666667,10,0.2166666666666667
222383,qwen-4,0.16666666666666666,10,0.016666666666666666
222383,qwen-4-high,1.5,10,0.15
222384,gpt-6,3.0,10,0.3
222384,gpt-6-high,4.0,10,0.4
222384,claude-opus-5,1.0,10,0.1
222384,claude-opus-5-high,1.0,10,0.1
222384,qwen-4,0.0,10,0.0
222384,qwen-4-high,1.0,10,0.1
222385,gpt-6,0.2,10,0.02
222385,gpt-6-high,1.2,10,0.12
222385,claude-opus-5,5.2,10,0.52
222385,claude-opus-5-high,1.0,10,0.1
222385,qwen-4,1.2,10,0.12
222385,qwen-4-high,1.2,10,0.12
222386,gpt-6,1.0,10,0.1
222386,gpt-6-high,0.0,10,0.0
222386,claude-opus-5,3.0,10,0.3
222386,claude-opus-5-high,5.0,10,0.5
222386,qwen-4,0.0,10,0.0
222386,qwen-4-high,1.0,10,0.1
222387,gpt-6,6.666666666666666,10,0.6666666666666666
222387,gpt-6-high,0.3333333333333333,10,0.03333333333333333
222387,claude-opus-5,1.6666666666666665,10,0.16666666666666666
222387,claude-opus-5-high,1.0,10,0.1
222387,qwen-4,0.0,10,0.0
222387,qwen-4-high,0.3333333333333333,10,0.03333333333333333
222388,gpt-6,2.0,10,0.2
222388,gpt-6-high,1.5,10,0.15
222388,claude-opus-5,0.3333333333333333,10,0.03333333333333333
222388,claude-opus-5-high,3.333333333333333,10,0.3333333333333333
222388,qwen-4,0.8333333333333333,10,0.08333333333333333
222388,qwen-4-high,2.0,10,0.2
222389,gpt-6,0.0,10,0.0
222389,gpt-6-high,2.0,10,0.2
222389,claude-opus-5,2.0,10,0.2
222389,claude-opus-5-high,4.0,10,0.4
222389,qwen-4,1.0,10,0.1
222389,qwen-4-high,1.0,10,0.1
222390,gpt-6,2.0,10,0.2
222390,gpt-6-high,1.0,10,0.1
222390,claude-opus-5,1.0,10,0.1
222390,claude-opus-5-high,1.0,10,0.1
222390,qwen-4,2.0,10,0.2
222390,qwen-4-high,3.0,10,0.3
222391,gpt-6,1.0,10,0.1
222391,gpt-6-high,2.333333333333333,10,0.2333333333333333
222391,claude-opus-5,2.3333333333333335,10,0.23333333333333334
222391,claude-opus-5-high,3.3333333333333335,10,0.33333333333333337
222391,qwen-4,0.0,10,0.0
222391,qwen-4-high,1.0,10,0.1
222392,gpt-6,1.0,10,0.1
222392,gpt-6-high,3.0,10,0.3
222392,claude-opus-5,3.0,10,0.3
222392,claude-opus-5-high,2.0,10,0.2
222392,qwen-4,0.0,10,0.0
222392,qwen-4-high,1.0,10,0.1
222393,gpt-6,1.0,10,0.1
222393,gpt-6-high,2.0,10,0.2
222393,claude-opus-5,1.0,10,0.1
222393,claude-opus-5-high,3.0,10,0.3
222393,qwen-4,0.0,10,0.0
222393,qwen-4-high,3.0,10,0.3
222394,gpt-6,1.5,10,0.15
222394,gpt-6-high,2.5,10,0.25
222394,claude-opus-5,0.5,10,0.05
222394,claude-opus-5-high,0.5,10,0.05
222394,qwen-4,0.5,10,0.05
222394,qwen-4-high,4.5,10,0.45
222395,gpt-6,1.6666666666666665,10,0.16666666666666666
222395,gpt-6-high,2.0,10,0.2
222395,claude-opus-5,2.0,10,0.2
222395,claude-opus-5-high,2.333333333333333,10,0.2333333333333333
222395,qwen-4,1.3333333333333333,10,0.13333333333333333
222395,qwen-4-high,0.6666666666666666,10,0.06666666666666667
222396,gpt-6,2.0,10,0.2
222396,gpt-6-high,3.0,10,0.3
222396,claude-opus-5,0.0,10,0.0
222396,claude-opus-5-high,2.0,10,0.2
222396,qwen-4,0.0,10,0.0
222396,qwen-4-high,3.0,10,0.3
222397,gpt-6,0.3333333333333333,10,0.03333333333333333
222397,gpt-6-high,4.333333333333333,10,0.4333333333333333
222397,claude-opus-5,1.0,10,0.1
222397,claude-opus-5-high,2.0,10,0.2
222397,qwen-4,0.3333333333333333,10,0.03333333333333333
222397,qwen-4-high,2.0,10,0.2
222398,gpt-6,0.16666666666666666,10,0.016666666666666666
222398,gpt-6-high,4.166666666666667,10,0.4166666666666667
222398,claude-opus-5,2.1666666666666665,10,0.21666666666666665
222398,claude-opus-5-high,1.1666666666666667,10,0.11666666666666667
222398,qwen-4,0.16666666666666666,10,0.016666666666666666
222398,qwen-4-high,2.1666666666666665,10,0.21666666666666665
222399,gpt-6,0.0,10,0.0
222399,gpt-6-high,2.0,10,0.2
222399,claude-opus-5,3.0,10,0.3
222399,claude-opus-5-high,4.0,10,0.4
222399,qwen-4,0.0,10,0.0
222399,qwen-4-high,1.0,10,0.1
222400,gpt-6,1.0,10,0.1
222400,gpt-6-high,1.0,10,0.1
222400,claude-opus-5,0.0,10,0.0
222400,claude-opus-5-high,6.0,10,0.6
222400,qwen-4,0.0,10,0.0
222400,qwen-4-high,2.0,10,0.2
222401,gpt-6,2.5,10,0.25
222401,gpt-6-high,2.2,10,0.22000000000000003
222401,claude-opus-5,0.2,10,0.02
222401,claude-opus-5-high,3.7,10,0.37
222401,qwen-4,1.2,10,0.12
222401,qwen-4-high,0.2,10,0.02
222402,gpt-6,2.0,10,0.2
222402,gpt-6-high,2.0,10,0.2
222402,claude-opus-5,3.0,10,0.3
222402,claude-opus-5-high,1.0,10,0.1
222402,qwen-4,0.0,10,0.0
222402,qwen-4-high,2.0,10,0.2
222403,gpt-6,0.0,10,0.0
222403,gpt-6-high,1.0,10,0.1
222403,claude-opus-5,4.25,10,0.425
222403,claude-opus-5-high,1.25,10,0.125
222403,qwen-4,0.25,10,0.025
222403,qwen-4-high,3.25,10,0.325
222404,gpt-6,2.0,10,0.2
222404,gpt-6-high,1.0,10,0.1
222404,claude-opus-5,0.0,10,0.0
222404,claude-opus-5-high,5.0,10,0.5
222404,qwen-4,0.0,10,0.0
222404,qwen-4-high,2.0,10,0.2
222405,gpt-6,1.0,10,0.1
222405,gpt-6-high,1.0,10,0.1
222405,claude-opus-5,3.0,10,0.3
222405,claude-opus-5-high,3.0,10,0.3
222405,qwen-4,1.0,10,0.1
222405,qwen-4-high,1.0,10,0.1
222406,gpt-6,2.0,10,0.2
222406,gpt-6-high,1.0,10,0.1
222406,claude-opus-5,3.0,10,0.3
222406,claude-opus-5-high,3.0,10,0.3
222406,qwen-4,0.0,10,0.0
222406,qwen-4-high,1.0,10,0.1
222407,gpt-6,1.0,10,0.1
222407,gpt-6-high,2.0,10,0.2
222407,claude-opus-5,1.0,10,0.1
222407,claude-opus-5-high,3.0,10,0.3
222407,qwen-4,0.0,10,0.0
222407,qwen-4-high,3.0,10,0.3
222408,gpt-6,0.0,10,0.0
222408,gpt-6-high,1.0,10,0.1
222408,claude-opus-5,0.0,10,0.0
222408,claude-opus-5-high,8.0,10,0.8
222408,qwen-4,1.0,10,0.1
222408,qwen-4-high,0.0,10,0.0
222409,gpt-6,0.16666666666666666,10,0.016666666666666666
222409,gpt-6-high,2.1666666666666665,10,0.21666666666666665
222409,claude-opus-5,2.1666666666666665,10,0.21666666666666665
222409,claude-opus-5-high,3.166666666666667,10,0.3166666666666667
222409,qwen-4,0.16666666666666666,10,0.016666666666666666
222409,qwen-4-high,2.1666666666666665,10,0.21666666666666665
222410,gpt-6,0.0,10,0.0
222410,gpt-6-high,2.0,10,0.2
222410,claude-opus-5,3.0,10,0.3
222410,claude-opus-5-high,5.0,10,0.5
222410,qwen-4,0.0,10,0.0
222410,qwen-4-high,0.0,10,0.0
222411,gpt-6,3.3333333333333335,10,0.33333333333333337
222411,gpt-6-high,1.3333333333333333,10,0.13333333333333333
222411,claude-opus-5,1.0,10,0.1
222411,claude-opus-5-high,1.0,10,0.1
222411,qwen-4,1.0,10,0.1
222411,qwen-4-high,2.3333333333333335,10,0.23333333333333334
222412,gpt-6,2.0,10,0.2
222412,gpt-6-high,2.0,10,0.2
222412,claude-opus-5,2.0,10,0.2
222412,claude-opus-5-high,3.0,10,0.3
222412,qwen-4,0.0,10,0.0
222412,qwen-4-high,1.0,10,0.1
222413,gpt-6,2.0,10,0.2
222413,gpt-6-high,1.0,10,0.1
222413,claude-opus-5,3.0,10,0.3
222413,claude-opus-5-high,3.0,10,0.3
222413,qwen-4,0.0,10,0.0
222413,qwen-4-high,1.0,10,0.1
222414,gpt-6,1.3333333333333333,10,0.13333333333333333
222414,gpt-6-high,0.3333333333333333,10,0.03333333333333333
222414,claude-opus-5,2.333333333333333,10,0.2333333333333333
222414,claude-opus-5-high,2.333333333333333,10,0.2333333333333333
222414,qwen-4,0.3333333333333333,10,0.03333333333333333
222414,qwen-4-high,3.333333333333333,10,0.3333333333333333
222415,gpt-6,1.1666666666666667,10,0.11666666666666667
222415,gpt-6-high,2.166666666666667,10,0.2166666666666667
222415,claude-opus-5,3.166666666666667,10,0.3166666666666667
222415,claude-opus-5-high,1.1666666666666667,10,0.11666666666666667
222415,qwen-4,1.1666666666666667,10,0.11666666666666667
222415,qwen-4-high,1.1666666666666667,10,0.11666666666666667
222416,gpt-6,1.5333333333333332,10,0.15333333333333332
222416,gpt-6-high,4.533333333333333,10,0.4533333333333333
222416,claude-opus-5,1.2,10,0.12
222416,claude-opus-5-high,2.2,10,0.22000000000000003
222416,qwen-4,0.0,10,0.0
222416,qwen-4-high,0.5333333333333333,10,0.05333333333333333
222417,gpt-6,1.0,10,0.1
222417,gpt-6-high,2.0,10,0.2
222417,claude-opus-5,3.0,10,0.3
222417,claude-opus-5-high,1.3333333333333333,10,0.13333333333333333
222417,qwen-4,0.3333333333333333,10,0.03333333333333333
222417,qwen-4-high,2.333333333333333,10,0.2333333333333333
222418,gpt-6,0.0,10,0.0
222418,gpt-6-high,1.0,10,0.1
222418,claude-opus-5,3.0,10,0.3
222418,claude-opus-5-high,2.0,10,0.2
222418,qwen-4,2.0,10,0.2
222418,qwen-4-high,2.0,10,0.2
222419,gpt-6,0.0,10,0.0
222419,gpt-6-high,0.0,10,0.0
222419,claude-opus-5,4.0,10,0.4
222419,claude-opus-5-high,6.0,10,0.6
222419,qwen-4,0.0,10,0.0
222419,qwen-4-high,0.0,10,0.0
222420,gpt-6,1.0,10,0.1
222420,gpt-6-high,2.0,10,0.2
222420,claude-opus-5,4.0,10,0.4
222420,claude-opus-5-high,2.0,10,0.2
222420,qwen-4,0.0,10,0.0
222420,qwen-4-high,1.0,10,0.1
222421,gpt-6,2.1666666666666665,10,0.21666666666666665
222421,gpt-6-high,1.1666666666666667,10,0.11666666666666667
222421,claude-opus-5,2.1666666666666665,10,0.21666666666666665
222421,claude-opus-5-high,3.166666666666667,10,0.3166666666666667
222421,qwen-4,0.16666666666666666,10,0.016666666666666666
222421,qwen-4-high,1.1666666666666667,10,0.11666666666666667
222422,gpt-6,1.0,10,0.1
222422,gpt-6-high,2.0,10,0.2
222422,claude-opus-5,3.0,10,0.3
222422,claude-opus-5-high,3.0,10,0.3
222422,qwen-4,1.0,10,0.1
222422,qwen-4-high,0.0,10,0.0
222423,gpt-6,1.3333333333333333,10,0.13333333333333333
222423,gpt-6-high,2.333333333333333,10,0.2333333333333333
222423,claude-opus-5,1.3333333333333333,10,0.13333333333333333
222423,claude-opus-5-high,4.0,10,0.4
222423,qwen-4,0.0,10,0.0
222423,qwen-4-high,1.0,10,0.1
222424,gpt-6,0.0,10,0.0
222424,gpt-6-high,2.0,10,0.2
222424,claude-opus-5,3.0,10,0.3
222424,claude-opus-5-high,4.0,10,0.4
222424,qwen-4,0.0,10,0.0
222424,qwen-4-high,1.0,10,0.1
222425,gpt-6,0.0,10,0.0
222425,gpt-6-high,2.0,10,0.2
222425,claude-opus-5,2.0,10,0.2
222425,claude-opus-5-high,5.0,10,0.5
222425,qwen-4,0.0,10,0.0
222425,qwen-4-high,1.0,10,0.1
222426,gpt-6,4.0,10,0.4
222426,gpt-6-high,0.0,10,0.0
222426,claude-opus-5,2.0,10,0.2
222426,claude-opus-5-high,1.0,10,0.1
222426,qwen-4,0.0,10,0.0
222426,qwen-4-high,3.0,10,0.3
222427,gpt-6,0.5833333333333333,10,0.05833333333333333
222427,gpt-6-high,0.0,10,0.0
222427,claude-opus-5,2.25,10,0.225
222427,claude-opus-5-high,3.333333333333333,10,0.3333333333333333
222427,qwen-4,1.75,10,0.175
222427,qwen-4-high,2.0833333333333335,10,0.20833333333333334
222428,gpt-6,2.0,10,0.2
222428,gpt-6-high,2.0,10,0.2
222428,claude-opus-5,0.0,10,0.0
222428,claude-opus-5-high,1.0,10,0.1
222428,qwen-4,3.0,10,0.3
222428,qwen-4-high,2.0,10,0.2
222429,gpt-6,0.0,10,0.0
222429,gpt-6-high,2.0,10,0.2
222429,claude-opus-5,4.0,10,0.4
222429,claude-opus-5-high,3.0,10,0.3
222429,qwen-4,0.0,10,0.0
222429,qwen-4-high,1.0,10,0.1
222430,gpt-6,1.0,10,0.1
222430,gpt-6-high,1.0,10,0.1
222430,claude-opus-5,4.0,10,0.4
222430,claude-opus-5-high,2.0,10,0.2
222430,qwen-4,0.0,10,0.0
222430,qwen-4-high,2.0,10,0.2
222431,gpt-6,2.0,10,0.2
222431,gpt-6-high,3.0,10,0.3
222431,claude-opus-5,2.0,10,0.2
222431,claude-opus-5-high,2.0,10,0.2
222431,qwen-4,0.0,10,0.0
222431,qwen-4-high,1.0,10,0.1
222432,gpt-6,0.0,10,0.0
222432,gpt-6-high,1.0,10,0.1
222432,claude-opus-5,2.0,10,0.2
222432,claude-opus-5-high,5.0,10,0.5
222432,qwen-4,0.0,10,0.0
222432,qwen-4-high,2.0,10,0.2
